Study Status,Study Results,Conditions,Interventions,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Completion Date,Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,"CANCER,NOS",DRUG: Lirilumab|DRUG: Nivolumab|DRUG: Ipilimumab,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,337,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",10/7/12,12/13/19,"Ucsf, San Francisco, California, 94115, United States|Florida Cancer Affiliates - Ocala, Ocala, Florida, 34471, United States|University Of Chicago Medical Center, Chicago, Illinois, 60637, United States|Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Lutherville, Maryland, 21093, United States|Beth Israel Deaconess Med Ctr, Boston, Massachusetts, 02215, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States|Massachusetts General Hospital, Boston, Massachusetts, 02215, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, 43210, United States|Providence Portland Med Ctr, Portland, Oregon, 97213, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, 19107, United States|UPMC Eye and Ear Institute, Pittsburgh, Pennsylvania, 15213, United States|West Cancer Center, Germantown, Tennessee, 38138, United States|Texas Oncology-Central Austin Cancer Center, Austin, Texas, 78731, United States|University Of Texas Medical Branch Of Galveston, Galveston, Texas, 77555, United States|University Of Washington, Seattle, Washington, 98195, United States|Juravinski Cancer Center, Hamilton, Ontario, L8V 5C2, Canada|Princess Margaret Cancer Centre, Toronto, Ontario, M5G 2M9, Canada|Local Institution, Bordeaux, 33075, France|Local Institution, Lyon, 69373, France|Local Institution, Nice, 06189, France|Local Institution, Paris, 75005, France|Institut Gustave Roussy, Villejuif, 94805, France|IRCCS Istituto Nazionale Tumori Milano, Milan, MI, 20133, Italy|Local Institution, Siena, 53100, Italy|Local Institution, Barcelona, 08035, Spain|Local Institution - 0038, Madrid, 28034, Spain|Local Institution, Madrid, 28050, Spain|Kantonsspital Graubuenden, Chur, 7000, Switzerland|Centre Hospitalier Universitaire Vaudois, Lausanne, 1011, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Malignant Tumors,DRUG: Additive classical homeopathy|DRUG: Homeopathic Placebo globules,ALL,"ADULT, OLDER_ADULT",PHASE3,150,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2/1/12,7/31/19,"Michael Frass, Vienna, 1120, Austria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMINATED,YES,Breast Cancer Nos Metastatic Recurrent,GENETIC: Ad-RTS-hIL-12 and Veledimex|DRUG: Palifosfamide,ALL,"ADULT, OLDER_ADULT",PHASE2,12,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,4/4/13,8/7/14,"Baptist Cancer Institute, Jacksonville, Florida, 32207, United States|Henry Ford Health System, Detroit, Michigan, 48202, United States|Billings Clinic, Billings, Montana, 59101, United States|Signal Point Clinical Research Center, Middletown, Ohio, 45042, United States|Greenville Hospital System, Greenville, South Carolina, 29605, United States|The Jones Clinic, PC, Germantown, Tennessee, 38138, United States|Mary Crowley Medical Research Center, Dallas, Texas, 75201, United States|Evergreen Hematology & Oncology, Spokane, Washington, 99218, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,NeuroEndocrine Tumours,DRUG: lanreotide acetate,ALL,"ADULT, OLDER_ADULT",PHASE4,50,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2014-05,2017-06,"Basingstoke & North Hampshire Hospital, Basingstoke, United Kingdom|Queen Elizabeth Hospital, Birmingham, United Kingdom|University Hospital Wales, Cardiff, United Kingdom|Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|St James's University Hospital, Leeds, United Kingdom|University Hospital Aintree, Liverpool, United Kingdom|Hammersmith Hospital, London, United Kingdom|King's College Hospital, London, United Kingdom|Royal Free Hospital, London, United Kingdom|Maidstone Hospital, Maidstone, United Kingdom|The Christie Hospital, Manchester, United Kingdom|Norfolk & Norwich Hospital, Norwich, United Kingdom|Royal Hallamshire Hospital, Sheffield, United Kingdom|Southampton University Hospital, Southampton, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Oncology,BIOLOGICAL: SUPLEXA,ALL,"ADULT, OLDER_ADULT",PHASE1,46,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,4/28/22,7/23/24,"Greenslopes Private Hospital/Gallipoli Medical Research Foundation, Brisbane, Queeensland, 4120, Australia|Cancer Research Sa (Crsa), Adelaide, South Australia, 5000, Australia|Southern Oncology Clinical Research Unit (SOCRU), Adelaide, South Australia, 5042, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Malignant Neoplasms of Digestive Organs|Malignant Neoplasms of Female Genital Organs|Malignant Neoplasms of Male Genital Organs|Malignant Neoplasms of Urinary Tract,DRUG: Deep Neuromuscular Blockade (NMB)|DRUG: Moderate Neuromuscular Blockade (NMB)|DRUG: Sugammadex|DRUG: Neostigmine|BEHAVIORAL: Pain Assessment,ALL,OLDER_ADULT,PHASE4,100,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",11/17/17,10/22/20,"University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Liver Tumour,DRUG: ThermoDox® (LTLD)|DEVICE: Focused Ultrasound of Target Liver Tumour|DIAGNOSTIC_TEST: Pre-LTLD Biopsy of Target Liver Tumour|DIAGNOSTIC_TEST: Post-LTLD Biopsy of Target Liver Tumour|DIAGNOSTIC_TEST: Post-LTLD+FUS (Post-FUS) Biopsy of Target Liver Tumour|DEVICE: Thermometry of Target Tumour,ALL,"ADULT, OLDER_ADULT",PHASE1,10,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-07,2017-04,"Oxford University Hospitals NHS Trust, Oxford, OX3 7LE, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Pancreatic Tumours|Midgut Neuroendocrine Tumours,DRUG: Lanreotide autogel 120 mg,ALL,"ADULT, OLDER_ADULT",PHASE2,99,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,12/15/15,10/24/19,"Erasme Hospital, Brussels, 1070, Belgium|Cliniques Unversitaires Saint Luc, Brussels, 1200, Belgium|Antwerp University Hospital, Edegem, 2650, Belgium|UZ Leuven, Leuven, B-3000, Belgium|Aarhus University Hospital, Aarhus, Denmark|Rigshospitalet, Copenhagen, 2100, Denmark|Hôpital Beaujon, Clichy, 92118, France|Hôpital Edouard Herriot, Lyon, 69437, France|Institut Paoli Calmette, Marseille, 13273, France|Institut Gustave Roussy, Villejuif, 94805, France|Charité - CVK, Berlin, 13353, Germany|Universitätsklinikum Erlangen, Erlangen, 91054, Germany|Nationales Centrum für Tumorerkrankungen (NCT), Heidelberg, 69120, Germany|St Vincent's University Hospital, Dublin, D4, Ireland|IRCCS Azienda Ospedaliera Universitaria, San Martino, Genova, 16132, Italy|Azienda Ospedaliera - Universitaria Careggi, Florence, 50134, Italy|Fondacione IRCCS Istituto Nazionale Dei Tumori, Milan, 20133, Italy|Università degli Studi ""Federico II"" di Napoli, Napoli, 80131, Italy|Azienda Ospedaliera sant'Andrea, Roma, 00189, Italy|AVL/NKI Medisch Oncologie, Amsterdam, 1066, Netherlands|Academic Medical Center, Amsterdam, 1105, Netherlands|Erasmus MC, Rotterdam, 3015, Netherlands|Samodzielny Publiczny Szpital Kliniczny nr 5, Katowice, 40-952, Poland|Katedra i Klinika Endokrynologii, Poznan, 60-355, Poland|Centrum Diagnostyczno-Lecznicze ""GAMMED"", Warsaw, 02-348, Poland|Hospital Universitario Vall D'hebron, Barcelona, 08034, Spain|Hospital Universitario Ramón Y Cajal, Madrid, 28034, Spain|Hospital Universitario 12 De Octubre, Madrid, 28041, Spain|Hospital Universitario Central de Asturias, Oviedo, 33011, Spain|Queen Elizabeth Medical Center, Birmingham, B15 2TH, United Kingdom|Royal Free Hospital, London, NW3 2QG, United Kingdom|The Christie Hospital NHS Foundation Trust, Manchester, M20 4BX, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMINATED,YES,Oncology,DRUG: Sym013,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,32,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,11/1/16,2019-06,"Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|South Texas Accelerated Research Therapeutics, LLC, San Antonio, Texas, 78229, United States|NEXT Oncology, San Antonio, Texas, 78240, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Neuroendocrine Tumours,DRUG: Lanreotide (Autogel formulation) and Temozolomide,ALL,"ADULT, OLDER_ADULT",PHASE2,40,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-07,6/18/19,"Oncologia Medica - Istituto Oncologico del Mediterraneo - IOM, Viagrande, Catania, 95029, Italy|Unità Operativa di Oncologia Azienda Ospedaliera Spedali Civili di Brescia, Brescia, 25123, Italy|Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST) S.r.l., IRCCS, Meldola, 47014, Italy|Unità Oncologia Medica Gastrointestinale e Tumori Neuroendocrini Istituto Europeo di Oncologia, IEO, Milan, 20141, Italy|Dipartimento di Endocrinologia e Oncologia Molecolare e Clinica , Università degli Studi, Napoli, 80131, Italy|Dipartimento di Oncologia Università di Torino Ospedale San Luigi Gonzaga, Orbassano, 10043, Italy|S.C di Oncologia Medica, Azienda Ospedaliera Universitaria di Perugia, Perugia, 06123, Italy|U.O. Oncologia - Azienda Ospedaliero-Universitaria Pisana Ospedale S. Chiara, Pisa, 56126, Italy|Oncologia Medica - Istituto Tumori Regina Elena San Gallicano, Roma, 00144, Italy|OUC di Oncologia- Azienda Ospedaliera Universitaria Integrata - Ospedale Borgo Roma, Verona, 37134, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
